stand_id,pier,contact_remote,wingspan_limit_m,icao_code,special_tag,location_type,icao_inferred_from_wingspan
301,T3C,remote,36,C,,remote,False
302,T3C,remote,36,C,,remote,False
303,T3C,remote,36,C,,remote,False
304,T3C,remote,36,C,,remote,False
305,T3C,remote,36,C,,remote,False
306,T3C,remote,36,C,,remote,False
307,T3C,remote,36,C,,remote,False
308,T3C,remote,36,C,,remote,False
309,T3C,contact,36,C,,contact,False
310,T3C,contact,36,C,,contact,False
311,T3C,contact,36,C,,contact,False
312,T3C,contact,36,C,,contact,False
313,T3C,contact,36,C,,contact,False
314,T3C,contact,36,C,,contact,False
315,T3C,contact,36,C,,contact,False
316,T3C,contact,36,C,,contact,False
317,T3C,contact,36,C,,contact,False
318,T3C,contact,36,C,,contact,False
319,T3C,contact,36,C,,contact,False
320,T3C,contact,36,C,,contact,False
321,T3C,contact,36,C,,contact,False
322,T3C,contact,36,C,,contact,False
323,T3C,contact,36,C,,contact,False
324,T3C,contact,36,C,,contact,False
325,T3C,contact,36,C,,contact,False
326,T3C,contact,36,C,,contact,False
327,T3C,contact,36,C,,contact,False
328,T3C,contact,36,C,,contact,False
329,T3C,contact,36,C,,contact,False
330,T3C,contact,36,C,,contact,False
331,T3C,contact,36,C,,contact,False
332,T3C,remote,36,C,,remote,False
333,T3C,remote,36,C,,remote,False
334,T3C,remote,36,C,,remote,False
351,T3C,remote,36,C,,remote,False
352,T3C,remote,36,C,,remote,False
353,T3C,remote,36,C,,remote,False
354,T3C,remote,36,C,,remote,False
355,T3C,remote,36,C,,remote,False
356,T3C,remote,36,C,,remote,False
357,T3C,remote,36,C,,remote,False
358,T3C,remote,36,C,,remote,False
359,T3C,remote,36,C,,remote,False
360,T3C,remote,36,C,,remote,False
361,T3C,remote,36,C,,remote,False
401,T3D,contact,65,E,,contact,False
403,T3D,contact,65,E,,contact,False
405,T3D,contact,65,E,,contact,False
406,T3D,contact,65,E,,contact,False
407,T3D,contact,65,E,,contact,False
408,T3D,contact,65,E,,contact,False
409,T3D,contact,65,E,,contact,False
410,T3D,contact,65,E,,contact,False
411,T3D,contact,65,E,,contact,False
413,T3D,contact,65,E,,contact,False
451,T3D,contact,65,E,,contact,False
452,T3D,contact,65,E,,contact,False
453,T3D,contact,65,E,,contact,False
454,T3D,contact,65,E,,contact,False
455,T3D,contact,65,E,,contact,False
456,T3D,contact,65,E,,contact,False
457,T3D,contact,65,E,,contact,False
458,T3D,contact,65,E,,contact,False
459,T3D,remote,69,E,,remote,False
460,T3D,remote,69,E,,remote,False
461,T3D,remote,69,E,,remote,False
462,T3D,remote,69,E,,remote,False
463,T3D,remote,69,E,,remote,False
464,T3D,remote,69,E,,remote,False
465,T3D,remote,69,E,,remote,False
466,T3D,remote,69,E,,remote,False
501,T3E,contact,65,E,,contact,False
502,T3E,contact,65,E,,contact,False
503,T3E,contact,65,E,,contact,False
504,T3E,contact,65,E,,contact,False
505,T3E,contact,65,E,,contact,False
506,T3E,contact,65,E,,contact,False
507,T3E,contact,65,E,,contact,False
508,T3E,contact,65,E,,contact,False
509,T3E,contact,65,E,,contact,False
510,T3E,contact,65,E,,contact,False
511,T3E,contact,65,E,,contact,False
512,T3E,contact,65,E,,contact,False
513,T3E,contact,65,E,,contact,False
514,T3E,contact,65,E,,contact,False
515,T3E,contact,65,E,,contact,False
516,T3E,contact,65,E,,contact,False
517,T3E,contact,65,E,,contact,False
518,T3E,contact,65,E,,contact,False
519,T3E,contact,65,E,,contact,False
520,T3E,contact,65,E,,contact,False
521,T3E,contact,65,E,,contact,False
522,T3E,contact,65,E,,contact,False
523,T3E,contact,65,E,,contact,False
524,T3E,contact,65,E,,contact,False
525,T3E,contact,65,E,,contact,False
526,T3E,contact,65,E,,contact,False
527,T3E,contact,65,E,,contact,False
528,T3E,contact,65,E,,contact,False
529,T3E,contact,65,E,,contact,False
530,T3E,contact,65,E,,contact,False
531,T3E,contact,65,E,,contact,False
532,T3E,contact,65,E,,contact,False
533,T3E,contact,65,E,,contact,False
534,T3E,contact,65,E,,contact,False
535,T3E,contact,65,E,,contact,False
536,T3E,contact,65,E,,contact,False
551,T3E,contact,65,E,,contact,False
552,T3E,contact,65,E,,contact,False
553,T3E,contact,65,E,,contact,False
554,T3E,contact,65,E,,contact,False
555,T3E,contact,65,E,,contact,False
556,T3E,contact,65,E,,contact,False
560,T3E,remote,80,F,A380/B747-8 capable,remote,False
561,T3E,remote,80,F,A380/B747-8 capable,remote,False
562,T3E,remote,80,F,A380/B747-8 capable,remote,False
563,T3E,remote,80,F,A380/B747-8 capable,remote,False
564,T3E,remote,80,F,A380/B747-8 capable,remote,False
565,T3E,remote,80,F,A380/B747-8 capable,remote,False
